issue	verdict_class	severity	category	rule
375	silent-accept	S2	C2	register kind
376	silent-accept	S2	C4	sp/zr operand + register-slot error
377	silent-accept	S2	C1	arity/list/addressing
378	silent-accept	S2	C2	register kind
379	panic-on-invalid	S3	C5	immediate range
380	silent-accept	S2	C3	width/arrangement mismatch
381	silent-accept	S2	C4	sp/zr operand + register-slot error
382	silent-accept	S2	C1	arity/list/addressing
383	silent-accept	S2	C2	register kind
384	panic-on-invalid	S3	C5	immediate range
385	silent-accept	S2	C3	width/arrangement mismatch
386	silent-accept	S2	C4	sp/zr operand + register-slot error
387	silent-accept	S2	C3	width/arrangement mismatch
388	silent-accept	S2	C1	arity/list/addressing
389	silent-accept	S2	C2	register kind
390	silent-accept	S2	C3	width/arrangement mismatch
391	silent-accept	S2	C1	arity/list/addressing
392	silent-accept	S2	C4	sp/zr operand + register-slot error
393	silent-accept	S2	C3	width/arrangement mismatch
394	silent-accept	S2	C4	sp/zr operand + register-slot error
395	silent-accept	S2	C1	arity/list/addressing
396	silent-accept	S2	C2	register kind
397	silent-accept	S2	C3	width/arrangement mismatch
398	silent-accept	S2	C4	sp/zr operand + register-slot error
399	silent-accept	S2	C1	arity/list/addressing
400	silent-accept	S2	C2	register kind
401	silent-accept	S2	C3	width/arrangement mismatch
402	silent-accept	S2	C4	sp/zr operand + register-slot error
403	silent-accept	S2	C1	arity/list/addressing
404	silent-accept	S2	C2	register kind
405	silent-accept	S2	C5	immediate range
406	silent-accept	S2	C3	width/arrangement mismatch
407	silent-accept	S2	C4	sp/zr operand + register-slot error
408	silent-accept	S2	C1	arity/list/addressing
409	differential	S1	C5	differential: valid input, wrong word (category by root cause)
410	silent-accept	S2	C4	sp/zr operand + register-slot error
411	reverse	S5	C7	rejects valid syntax
412	silent-accept	S2	C3	width/arrangement mismatch
413	silent-accept	S2	C1	arity/list/addressing
414	differential	S1	C5	differential: valid input, wrong word (category by root cause)
415	silent-accept	S2	C3	width/arrangement mismatch
416	silent-accept	S2	C1	arity/list/addressing
417	silent-accept	S2	C2	register kind
418	silent-accept	S2	C3	width/arrangement mismatch
419	silent-accept	S2	C4	sp/zr operand + register-slot error
420	silent-accept	S2	C1	arity/list/addressing
421	silent-accept	S2	C2	register kind
422	silent-accept	S2	C3	width/arrangement mismatch
423	silent-accept	S2	C4	sp/zr operand + register-slot error
424	silent-accept	S2	C1	arity/list/addressing
425	silent-accept	S2	C2	register kind
426	silent-accept	S2	C3	width/arrangement mismatch
427	silent-accept	S2	C3	width/arrangement mismatch
428	silent-accept	S2	C4	sp/zr operand + register-slot error
429	silent-accept	S2	C3	width/arrangement mismatch
430	silent-accept	S2	C1	arity/list/addressing
431	silent-accept	S2	C2	register kind
432	silent-accept	S2	C3	width/arrangement mismatch
433	silent-accept	S2	C4	sp/zr operand + register-slot error
434	silent-accept	S2	C1	arity/list/addressing
435	silent-accept	S2	C2	register kind
436	panic-on-invalid	S3	C5	immediate range
437	silent-accept	S2	C3	width/arrangement mismatch
438	silent-accept	S2	C4	sp/zr operand + register-slot error
439	silent-accept	S2	C1	arity/list/addressing
440	silent-accept	S2	C2	register kind
441	panic-on-invalid	S3	C5	immediate range
442	silent-accept	S2	C3	width/arrangement mismatch
443	silent-accept	S2	C4	sp/zr operand + register-slot error
444	silent-accept	S2	C1	arity/list/addressing
445	silent-accept	S2	C2	register kind
446	silent-accept	S2	C5	immediate range
447	silent-accept	S2	C3	width/arrangement mismatch
448	silent-accept	S2	C4	sp/zr operand + register-slot error
449	silent-accept	S2	C1	arity/list/addressing
450	silent-accept	S2	C2	register kind
451	silent-accept	S2	C5	immediate range
452	silent-accept	S2	C3	width/arrangement mismatch
453	silent-accept	S2	C4	sp/zr operand + register-slot error
454	silent-accept	S2	C1	arity/list/addressing
455	silent-accept	S2	C2	register kind
456	panic-on-invalid	S3	C5	immediate range
457	silent-accept	S2	C3	width/arrangement mismatch
458	silent-accept	S2	C4	sp/zr operand + register-slot error
459	silent-accept	S2	C1	arity/list/addressing
460	silent-accept	S2	C2	register kind
461	silent-accept	S2	C5	immediate range
462	silent-accept	S2	C3	width/arrangement mismatch
463	silent-accept	S2	C4	sp/zr operand + register-slot error
464	silent-accept	S2	C1	arity/list/addressing
465	silent-accept	S2	C2	register kind
466	panic-on-invalid	S3	C5	immediate range
467	silent-accept	S2	C3	width/arrangement mismatch
468	silent-accept	S2	C4	sp/zr operand + register-slot error
469	silent-accept	S2	C3	width/arrangement mismatch
470	silent-accept	S2	C2	register kind
471	silent-accept	S2	C1	arity/list/addressing
472	silent-accept	S2	C2	register kind
473	silent-accept	S2	C4	sp/zr operand + register-slot error
474	silent-accept	S2	C1	arity/list/addressing
475	differential	S1	C5	differential: valid input, wrong word (category by root cause)
476	silent-accept	S2	C3	width/arrangement mismatch
477	silent-accept	S2	C1	arity/list/addressing
478	differential	S1	C5	differential: valid input, wrong word (category by root cause)
479	silent-accept	S2	C3	width/arrangement mismatch
480	silent-accept	S2	C1	arity/list/addressing
481	differential	S1	C5	differential: valid input, wrong word (category by root cause)
482	silent-accept	S2	C3	width/arrangement mismatch
483	silent-accept	S2	C1	arity/list/addressing
484	differential	S1	C5	differential: valid input, wrong word (category by root cause)
485	silent-accept	S2	C3	width/arrangement mismatch
486	silent-accept	S2	C1	arity/list/addressing
487	silent-accept	S2	C5	immediate range
488	silent-accept	S2	C3	width/arrangement mismatch
489	silent-accept	S2	C3	width/arrangement mismatch
490	silent-accept	S2	C6	shift/extend validity
491	silent-accept	S2	C1	arity/list/addressing
492	silent-accept	S2	C2	register kind
493	silent-accept	S2	C5	immediate range
494	silent-accept	S2	C4	sp/zr operand + register-slot error
495	silent-accept	S2	C3	width/arrangement mismatch
496	silent-accept	S2	C6	shift/extend validity
497	warning-class-CU	S4	C7	missing CU warning
498	silent-accept	S2	C4	sp/zr operand + register-slot error
499	silent-accept	S2	C1	arity/list/addressing
500	silent-accept	S2	C1	arity/list/addressing
501	silent-accept	S2	C2	register kind
502	silent-accept	S2	C1	arity/list/addressing
503	silent-accept	S2	C1	arity/list/addressing
504	differential	S1	C1	differential: valid input, wrong word (category by root cause)
505	differential	S1	C1	differential: valid input, wrong word (category by root cause)
506	silent-accept	S2	C3	width/arrangement mismatch
507	silent-accept(upgraded)	S2	C4	sp/zr operand + register-slot error
508	C-level	S1	C8	C-level/linker/source special
509	C-level	S4	C8	C-level/linker/source special
510	C-level	S2	C8	C-level/linker/source special
